unit_id,method,row,segment,block,area_m2,height_max_m,height_mean_m,canopy_cover,volume_m3,n_pixels,data_coverage,vari_mean,exg_mean,gli_mean,height_max_m_pct,height_mean_m_pct,volume_m3_pct,canopy_cover_pct,vari_mean_pct,exg_mean_pct,gli_mean_pct
r013s048,rows,13,48,4161,0.07693064071276139,1.973204493522644,1.7429819232539128,1.0,0.08279164135456087,19,1.0,0.1316501447719242,0.20273907906339464,0.14333503088517852,44.069503903298916,54.11735079325107,1.5109544195416773,58.66280533870562,27.70083102493075,18.282548476454295,18.307731050113322
r013s049,rows,13,49,4161,0.08301339409081265,1.812062382698059,1.5452326267957688,1.0,0.07726163133978846,20,1.0,0.13470765794939785,0.2026591265020587,0.14358430170919423,37.32057416267943,44.92571140770586,1.2087635356333417,58.66280533870562,29.665071770334926,18.257365902795268,18.408461344749433
r013s050,rows,13,50,4161,0.08326636324636638,1.7657784223556519,1.4991414427757264,1.0,0.07495707213878633,20,1.0,0.14199884049382644,0.23000175561413116,0.16182115876052755,34.37421304457315,41.70234197935029,1.10803324099723,58.66280533870562,35.73407202216066,29.589524049357845,29.866532359607152
r013s085,rows,13,85,4169,0.08788216736866161,1.6121002435684204,1.3690426051616669,1.0,0.06845213025808336,20,1.0,0.12686638047281154,0.2289799836238742,0.16123041681664532,24.25081843364392,34.65122135482247,0.9569377990430622,58.66280533870562,24.25081843364392,28.934777134223115,29.211785444472426
r013s086,rows,13,86,4169,0.08813513515633531,1.6743181943893433,1.2472684234380722,1.0,0.062363421171903625,20,1.0,0.09799709017627008,0.19813935857927228,0.1406282298081409,27.121631830773108,31.704860236716193,0.7554772097708387,58.66280533870562,13.548224628557037,17.09896751447998,17.22488038277512
r013s087,rows,13,87,4169,0.0883881030313205,1.4161972999572754,1.28136305809021,1.0,0.06406815290451051,20,1.0,0.09310055308246117,0.1617757758572395,0.11593799349319521,18.509191639385545,32.510702593805085,0.8058423570888944,58.66280533870562,12.742382271468145,11.55880130949383,11.785444472425082
r013s089,rows,13,89,4170,0.08542878751115918,1.8815839290618896,1.462756228797576,1.0,0.12433427944779399,34,1.0,0.147611008718819,0.20608385133740512,0.14589573868391303,40.82095190128431,39.68773608662806,3.500377738604885,58.66280533870562,40.292117854444726,19.491312012087636,19.717955175018886
r013s090,rows,13,90,4170,0.09847084057400934,1.8269418478012085,1.4477820575237275,1.0,0.14477820575237277,40,1.0,0.14609767595090836,0.21446959366957397,0.1514433785411752,38.227146814404435,38.70561571392596,4.457315537647948,58.66280533870562,39.05817174515235,22.261395114580708,22.46285570385293
r013s091,rows,13,91,4170,0.09872380952583626,1.8622055053710938,1.4142276965081693,1.0,0.14142276965081693,40,1.0,0.1431542874861204,0.21284168768512712,0.15041385144659372,39.86401410224125,36.74137496852178,4.281037522034752,58.66280533870562,36.74137496852178,21.480735331150843,21.707378494082093
r013s094,rows,13,94,4171,0.07893997355131432,2.187225341796875,2.0485292434692384,1.0,0.10242646217346194,20,1.0,0.1764037638137456,0.2423518309628075,0.17052739041079895,55.4016620498615,74.43968773608663,2.4427096449257113,58.66280533870562,57.2148073533115,37.270209015361374,38.02568622513221
