unit_id,method,label,area_m2,height_max_m,height_mean_m,canopy_cover,volume_m3,n_pixels,data_coverage,vari_mean,exg_mean,gli_mean,height_max_m_pct,height_mean_m_pct,volume_m3_pct,canopy_cover_pct,vari_mean_pct,exg_mean_pct,gli_mean_pct
c00001,watershed,1,10.7024999998344,3.847796678543091,1.882842778551354,0.9958138389559222,19.115561309293753,4276,0.9497193638914874,-0.0032076101119905514,0.02386135131493933,0.01733055221981276,99.69135802469135,99.69135802469135,95.98765432098766,41.66666666666667,0.30864197530864196,1.8518518518518516,1.8518518518518516
c00002,watershed,2,1.309999999960419,3.9151017665863037,2.560088225679257,0.9901719901719902,2.6048897696356117,527,0.7722960151802657,-0.002188797190147328,0.012655697518221898,0.008694027535060982,100.0,100.0,32.71604938271605,24.691358024691358,0.6172839506172839,1.2345679012345678,1.2345679012345678
c00003,watershed,3,26.5662499997043,2.668107271194458,1.8449954452286863,0.9898161244695898,48.91544174175638,10651,0.9956811566989016,0.35038568965483813,0.5381522696760982,0.3488653965959736,99.38271604938271,99.07407407407408,100.0,23.456790123456788,91.0493827160494,98.4567901234568,98.76543209876543
c00004,watershed,4,14.16250000005239,2.485292911529541,1.8455693922425425,0.9712204654467934,25.97177527240265,5703,0.9870243731369455,0.2736510414680925,0.44245716232164045,0.2940769528057209,99.07407407407408,99.38271604938271,99.38271604938271,2.7777777777777777,46.2962962962963,89.50617283950618,89.81481481481481
c00005,watershed,5,16.568124999796563,2.4709949493408203,1.4061589593539199,0.9959177502267916,23.250838392979258,6614,1.0,0.26847622388100273,0.33336229348698254,0.2263622528015343,98.76543209876543,95.37037037037037,98.76543209876543,42.592592592592595,42.592592592592595,50.617283950617285,50.92592592592593
c00006,watershed,6,13.994375000436268,2.449549436569214,1.4762485613714138,1.0,20.58259556697599,5638,0.9891805604824406,0.0520260106824424,0.0025540804175723467,0.001407072195934681,98.4567901234568,97.53086419753086,97.53086419753086,83.48765432098766,2.1604938271604937,0.9259259259259258,0.9259259259259258
c00007,watershed,7,8.028125000146975,2.37074875831604,1.5370672488842894,0.9993751952514839,12.300380659229427,3201,1.0,0.34500381064248953,0.38292722281898384,0.2586196407116959,97.8395061728395,98.76543209876543,91.9753086419753,63.580246913580254,88.58024691358025,70.06172839506173,71.91358024691358
c00008,watershed,8,21.094374999925492,2.3999083042144775,1.2972011158171775,1.0,27.377429549394762,8442,1.0,0.2445867326263566,0.3087919167157208,0.20921567725253745,98.14814814814815,79.93827160493827,99.69135802469135,83.48765432098766,26.543209876543212,32.098765432098766,31.17283950617284
c00009,watershed,9,15.694374999854187,2.273844003677368,1.4004254912597518,0.9992012779552716,21.916658938273738,6260,1.0,0.24817814153884926,0.30910611737596533,0.20911219798036446,97.53086419753086,94.44444444444444,98.14814814814815,62.03703703703704,29.01234567901235,32.71604938271605,30.864197530864196
c00010,watershed,10,19.246250000137085,2.264859676361084,1.2956553591290463,1.0,24.892778587333385,7685,1.0,0.20368135338233886,0.27539942838424675,0.18830347506737094,97.22222222222221,78.70370370370371,99.07407407407408,83.48765432098766,9.5679012345679,16.049382716049383,15.74074074074074
c00011,watershed,11,7.869374999849825,2.2583653926849365,1.3527981389165162,0.9977635782747604,10.585645437050054,3130,1.0,0.27009209531619616,0.29560359347666565,0.2026839239475815,96.91358024691358,88.88888888888889,87.65432098765432,50.308641975308646,43.51851851851852,26.234567901234566,26.543209876543212
c00012,watershed,12,12.2643750002014,2.1924123764038086,1.3401339966064494,0.9953185426419703,16.46019581336274,4913,1.0,0.29741973791186266,0.336804473349107,0.22758913132706854,95.98765432098766,87.65432098765432,94.1358024691358,39.19753086419753,62.96296296296296,53.086419753086425,51.85185185185185
c00013,watershed,13,12.927500000345171,2.1927502155303955,1.3645841217164185,1.0,17.664541455666285,5178,1.0,0.3343618242134584,0.3926622042245821,0.26175538477215543,96.29629629629629,91.66666666666666,95.37037037037037,83.48765432098766,82.4074074074074,74.07407407407408,73.76543209876543
